,_id,cat,description,name,purchases_Y15/M08,purchases_Y15/M09,purchases_Y15/M10,purchases_Y15/M11
0,0005-000037-0005031-0060,"[""girls"",""jackets-and-coats"",""parkas-and-puffer-jackets""]","Warmth and comfort collide with style in this cute puffer jacket. Stuffed with a warm lining and given a quilted design, this jacket fits perfectly over sweaters. 
			4 front zip pockets
			Snap collar
			Shell: 100% nylon; Lining: 100% polyester; Padding: 100% polyester
			Hand wash 
			Model wears size Small
			Imported
			STYLE: 0005-000037-0005031",Red Quilted Puffer Jacket,0.0,5.0,25.0,87.0
1,0011-000124-0001546-0081,"[""girls"",""tank-tops"",""casual""]","This jersey cotton blend cami shown in orange is a layering essential. Pair it with your favorite tops and accessories to create your own unique look.
			95% cotton, 5% spandex
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0011-000124-0001546",Orange Cotton Blend Cami,18.0,132.0,8.0,0.0
2,0011-000124-0001570-0010,"[""girls"",""tees"",""long-sleeve""]","Stay in the game and own it in this raglan top. The jersey knit fabric features a color block body with ""Killin' It 01"" at the left chest. 
			52% cotton, 23% rayon, 22% polyester, 3% spandex
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0011-000124-0001570",Killin It 01 Raglan Top,32.0,89.0,3.0,0.0
3,0044-000875-0003780-0064,"[""girls"",""graphic-tees-and-tanks"",""graphic-long-sleeve-tees""]","Raise awareness for a good cause in this long sleeved tee. Jersey knit with a color split pink and white design, featuring the text ""Think Pink"" over the heart and across the back. A portion of proceeds benefits breast cancer research.
			rue21 BCA product
			95% spun, 5% spandex
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0044-000875-0003780",Think Pink Color Split Top,0.0,96.0,1.0,0.0
4,0066-000962-0002471-0036,"[""girls"",""joggers""]","When searching for comfort and style, look no further than the jogger pant. Crafted with a sturdy twill and featuring dark green camo print front panels. Complete with elastic ruched cuffs and waistband.
			2 front pockets; 2 back pockets
			Faux leather drawstring
			Approx. 10 in. leg opening
			Approx. 30 in. inseam
			98% cotton, 2% spandex
			Machine wash
			Model wears size Small
			Imported
			STYLE: 0066-000962-0002471",Gusseted Camo Jogger,12.0,96.0,161.0,0.0
5,0079-000124-0003750,"[""uncategorised""]","A cute legging with multi tribal-inspired striped print. Elastic waistband.
			26 in. inseam
			95% cotton, 5% spandex
			Machine washable
			Model wears size Small
			Imported
			STYLE: 0079-000124-0003750",Multi Tribal Striped Legging,0.0,0.0,0.0,0.0
6,0079-000124-0007500,"[""uncategorised""]","A trendy tribal-inspired zig zag print legging. Elastic waistband.
			26 in. inseam
			95% cotton, 5% spandex
			Machine washable
			Model wears size Small
			Imported
			STYLE: 0079-000124-0007500",Tribal Zig Zag Legging,0.0,0.0,0.0,0.0
7,0079-000232-0003040,"[""uncategorised""]","A bright legging with a tribal-inspired stacked geo print. Elastic waistband.
			26 in. inseam
			95% cotton, 5% spandex
			Machine washable
			Model wears size Small
			Imported
			STYLE: 0079-000232-0003040",Tribal Stacked Legging,0.0,0.0,0.0,0.0
8,0079-000868-0007922,"[""uncategorised""]","Bring out your wild side in this hot legging. Made from a stretchy, jersey knit and featuring a black tribal print with chevron elements.
			Approx. 8 in. leg opening
			Approx. 28 in. inseam
			Elastic waist
			95% cotton, 5% spandex
			Hand wash 
			Model wears size Small
			Imported
			STYLE: 0079-000868-0007922",Black Mixed Tribal Legging,1.0,0.0,0.0,0.0
9,0079-001110-0002406,"[""uncategorised""]","A comfortable jersey knit legging featuring bold ""crackled"" tribal print. Paneled elastic waistband.
			Approx. 28"" inseam 
			95% polyester, 5% spandex
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0079-001110-0002406",Black Crackle Tribal Legging,0.0,0.0,0.0,0.0
10,0079-001110-0007104,"[""uncategorised""]","A vibrant legging with ""static"" fill geometric shapes print. Elastic waistband.
			26 in. inseam
			95% cotton, 5% spandex
			Machine washable
			Model wears size Small
			Imported
			STYLE: 0079-001110-0007104",Geo Static Legging,0.0,0.0,0.0,0.0
11,0081-001110-0009823,"[""girls"",""shorts"",""soft-shorts""]","The perfect Summer short for bright and breezy style! This comfortable gauze woven short comes in a gypsy-inspired print with a rich border, and features ric-rac trim and a wide smocked waist that flatters the figure.
			A 2-piece trend mix & match style!
			Approx. 4 in. inseam
			100% rayon
			Machine wash
			Model wears size Small
			Imported
			STYLE: 0081-001110-0009823",Gypsy Smocked Gauze Short,1.0,10.0,0.0,0.0
12,0081-001398-0001536,"[""girls"",""shorts"",""soft-shorts""]","Step away from the usual in this fun woven short. The tulip cut design features a red and mint green tribal print. The look is complete with black pom pom trim at the front.
			Elastic waistband
			Approx. 2.5 in. inseam
			100% polyester
			Hand wash 
			Model wears size Medium
			Imported
			STYLE: 0081-001398-0001536",Tribal Tulip Short,1.0,0.0,0.0,0.0
13,0082-001110-0002837,"[""uncategorised""]","Knit French terry jogger pant with double striped elastic waist band. Drawstring. Front pockets. Elastic cuffs.
			Size Small has approx. 30 in. inseam
			60% cotton, 40% polyester
			Machine washable
			Model wears size Small
			Imported
			STYLE: 0082-001110-0002837",Black Double Striped Waist Terry Jogger,0.0,0.0,0.0,0.0
14,0082-001110-0009209,"[""uncategorised""]","You don't need to be an athletic prodigy to rock this jogger pant. Made from a soft terry knit, it's comfortable enough for running errands or just lounging around. Features an oversized rose print with striped ribbed cuffs and waistband.
			Drawstring waist
			2 Front pockets
			Approx. 9 in. leg opening
			Approx. 28 in. inseam
			65% polyester, 35% cotton
			Machine wash
			Model wears size Small
			Imported
			STYLE: 0082-001110-0009209",Rose Garden Athletic Jogger,7.0,9.0,0.0,0.0
15,0084-001110-0002442,"[""girls"",""shorts"",""soft-shorts""]","Get ready for the weekend road trip in these cute crochet shorts. Made with a floral openwork crochet and fashion tie fabric belt. Complete with a wide elastic waistband.
			Lined
			Approx. 3 in. inseam
			Self/Lining: 100% polyester
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0084-001110-0002442",Peach Scalloped Crochet Short,16.0,89.0,0.0,0.0
16,0085-001110-0000760,"[""uncategorised""]","Left, left, left, right, left! Get stepping in this comfortable knit jogger. Designed with a breathable French terry knit, this jogger pant boasts a dark green camo print and cargo pockets. 
			Drawstring waist
			Approx. 9 in. leg opening
			Approx. 28 in. inseam
			55% cotton, 45% polyester
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0085-001110-0000760",Green Cargo Camo Jogger,13.0,0.0,0.0,0.0
17,0085-001110-0002756,"[""uncategorised""]","Escape to a relaxing garden paradise in this comfy jogger. The scuba knit build features a colorful floral print and athletic striped trim at the waistband and cuffs. Complete with 2 convenient front pockets.
			Elastic waistband
			Approx. 28 in. inseam
			95% polyester, 5% spandex
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0085-001110-0002756",Secret Garden Jogger,10.0,5.0,0.0,0.0
18,0085-001110-0002810,"[""uncategorised""]","The stripe game is strong in this jogger. Built with a cozy French terry knit interior, it features white stripes below the knee at the left leg, two front pockets before topping off with ribbed trim at the cuffs and waistband.
			Drawstring waist
			Approx. 9 in. leg opening
			Approx. 29 in. inseam
			65% polyester, 35% cotton
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0085-001110-0002810",Triple Striped Jogger,10.0,0.0,0.0,0.0
19,0089-001110-0002423,"[""girls"",""activewear""]","Lounge around or run a few last minute errands in this comfy knit dolphin short. Features a mesh insert side seam and neon screen printed crest on the left leg. Complete with a drawstring waistband.
			Approx. 2.5 in. inseam
			Body: 85% polyester, 15% cotton; Insert: 100% polyester
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0089-001110-0002423",White Neon Mesh Side Dolphin Short,12.0,0.0,0.0,0.0
20,0089-001110-0002604,"[""girls"",""shorts"",""soft-shorts""]","Don't just sit around, get up and go in this hot mesh short. Complete with a smocked elastic waistband and two convenient side pockets.
			2 side pockets
			Approx. 2.5 in. inseam
			100% polyester
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0089-001110-0002604",Neon Yellow Mesh Dolphin Short,4.0,0.0,0.0,0.0
21,0095-000466-0004914,"[""girls"",""shorts"",""denim-shorts""]","Some things will never go out of style. This denim short is acid washed and features light rips with frayed leg openings. Complete with a vintage Americana fashion tie belt.
			Approx. 20 in. leg opening
			Approx. 2.5 in. inseam
			75% cotton, 23% polyester, 2% spandex
			Machine wash 
			Model wears size 3
			Imported
			STYLE: 0095-000466-0004914",Acid Wash Frayed Denim Short,3.0,20.0,0.0,0.0
22,0098-000092-0003835,"[""girls"",""shorts"",""soft-shorts""]","It's always shorts weather in this cute twill pair, featuring a wide rolled cuff and a bit of stretch for a smooth fit. Classic fly and waistband. 
			4 pockets
			Approx. 23 in. leg opening
			Approx. 2.5 in. inseam
			70% cotton, 29% polyester, 1% spandex
			Machine wash
			Model wears size 3
			Imported
			STYLE: 0098-000092-0003835",White Rolled Cuff Twill Short,3.0,0.0,0.0,0.0
23,0098-000945-0004380,"[""girls"",""shorts"",""denim-shorts""]","Switch it up and create a new outfit with this cute short. Crafted with a stretchy twill and back flap pockets. This short is finished with a hidden zip and a hook and bar closure.
			Approx. 2.5 in. inseam
			74% rayon, 22% nylon, 4% spandex
			Machine wash 
			Model wears size 3/4
			Imported
			STYLE: 0098-000945-0004380",Black Twill Short,1.0,1.0,0.0,0.0
24,0098-001110-0002194,"[""girls"",""shorts"",""soft-shorts""]","A stunning pair of colorful shorts with an all over tiered crochet design. Made from soft material with an elastic waistband for comfort.
			Approx. 3.5 in. inseam
			Lace: 100% cotton; Lining: 100% polyester
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0098-001110-0002194",Light Green Crochet Tiered Short,11.0,3.0,0.0,0.0
25,0098-001200-0002921,"[""girls"",""shorts"",""soft-shorts""]","This cute high waisted short is for pairing with all of your favorite tops. Designed with a 6-button accented waist construction. Rock them with heels or flats for a unique style every  wear.
			Approx. 22 in. leg opening
			Approx. 2.5 in. inseam
			74% rayon, 22% nylon, 4% spandex
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0098-001200-0002921",6-Button High Waisted Short,26.0,0.0,0.0,0.0
26,0098-001563-0002502,"[""girls"",""shorts"",""denim-shorts""]","Get the summer style with the classic cut of the Bermuda short. The sturdy twill construction is perfect for semi-casual wear. 
			Approx. 18 in. leg opening
			Approx. 8 in. inseam
			98% cotton, 2% spandex
			Machine wash
			Model wears size 3/4
			Imported
			STYLE: 0098-001563-0002502",Black Bermuda Short,0.0,0.0,0.0,0.0
